event_id,event_date,landslide_category,landslide_trigger,landslide_size,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count,injury_count
3027,1/16/2011 0:00,landslide,downpour,medium,9989,4.92474,-124.0538,44.6811,0,
1342,11/27/2009 0:00,landslide,downpour,medium,33317,12.48414,125.0069,1.2449,0,
633,7/9/2008 0:00,landslide,downpour,small,3191,2.20331,-82.26,37.66,,
8227,9/15/2015 18:00,rock_fall,downpour,medium,41170,15.87575,82.8555,18.7734,0,0
861,10/26/2008 0:00,complex,downpour,medium,64409,4.76016,114.9881,4.9558,,
6917,5/20/2015 11:30,landslide,downpour,medium,1171633,6.28197,106.657,26.6017,8,0
1685,4/6/2010 0:00,landslide,downpour,medium,6023699,10.31768,-43.3057,-22.9229,0,
3125,2/15/2011 9:00,landslide,downpour,medium,583776,3.62117,-122.722,45.5285,0,
53,4/2/2007 0:00,landslide,rain,medium,0,1.01466,108.1536,29.3014,7,
8021,9/8/2015 11:45,mudslide,rain,medium,60411,1.82515,-88.0271,43.024,0,0
6719,1/16/2015 15:00,debris_flow,rain,medium,77650,22.27822,116.2805,5.4992,0,0
9637,10/16/2016 0:00,landslide,rain,medium,2195,4.37334,121.1891,17.4038,0,0
5849,2/8/2014 0:00,landslide,unknown,medium,4217,1.97374,-3.2614,51.7331,0,0
7885,12/11/2010 0:00,rock_fall,unknown,small,6441,15.03165,-122.4219,48.5973,0,0
7746,8/20/2015 23:00,landslide,unknown,medium,26893,14.82885,75.264,32.6173,0,0
5776,1/13/2014 9:00,landslide,tropical_cyclone,large,2128,14.4906,123.1689,8.3886,1,0
8360,3/3/2014 13:46,landslide,unknown,unknown,14095,9.6865,-122.2528,45.5317,0,0
2694,11/4/2010 6:30,landslide,downpour,medium,12441,3.9929,122.03,16.95,1,
3876,8/3/2011 0:00,landslide,rain,medium,0,1.20248,97.9422,17.9683,7,
1210,10/2/2009 0:00,landslide,rain,medium,11900,0.39817,74.0478,14.9935,,
4795,4/7/2013 8:00,landslide,rain,medium,20254,0.34029,-122.3046,47.9476,,
2071,7/13/2010 7:20,landslide,downpour,medium,0,1.89606,109.4807,28.5716,6,
8154,11/14/2015 15:03,landslide,unknown,unknown,1286,4.14573,-123.8924,45.5598,0,0
9271,7/30/2016 0:00,landslide,downpour,medium,2522,0.66619,122.5363,10.7886,0,0
860,10/23/2008 0:00,landslide,downpour,medium,14708,4.47546,-130.254,54.3242,,
5654,11/20/2013 0:00,landslide,mining,medium,12524,22.39626,35.6614,0.2417,1,
8014,1/18/2016 10:39,landslide,unknown,unknown,1151,27.59637,-123.6606,43.6516,0,0
7098,5/2/2015 15:00,landslide,downpour,medium,216479,17.54223,34.7225,0.0515,0,0
2421,9/13/2010 9:00,landslide,downpour,medium,20244,8.59507,92.74128531,23.75406693,,
4572,9/24/2012 0:00,landslide,downpour,medium,37787,20.34474,68.4119,30.4581,,
2512,9/28/2010 9:00,mudslide,downpour,small,4038,40.02455,-117.4803,51.4643,0,
6821,3/4/2015 0:00,other,rain,small,1631,5.77112,-81.6267,38.2942,0,0
